Food Name,"Energy, with dietary fibre",Moisture (water),Protein,Total Fat,Ash,Calcium (Ca),Iodine (I),Iron (Fe),Magnesium (Mg),Phosphorus (P),Potassium (K),Selenium (Se),Sodium (Na),Zinc (Zn),Retinol (preformed vitamin A),Beta-carotene,Vitamin A retinol equivalents,Thiamin (B1),Riboflavin (B2),Niacin (B3),Niacin derived from tryptophan,Niacin derived equivalents,Pyridoxine (B6),Cobalamin (B12),Total folates,Vitamin C,Cholecalciferol (D3),25-hydroxy cholecalciferol (25-OH D3,Vitamin D3 equivalents,Vitamin E,Total saturated fatty acids,,,,,,,,Total long chain omega 3 fatty acids,,Cholesterol,
0,968,57.8,27.6,13.5,1.1,5,2.6,2.29,22,202,359,14.6,60,5.43,0,0,0,0.025,0.13,4,3.84,7.84,0.27,2.1,12,0,0.4,0.5,2.9,0,5.99,0,5.06,0,0,0,0,0.21,0,430.4,92,226
0,526,74.4,23,3.6,1.2,4,1.2,1.24,24,198,357,10.8,44,2.96,1,10,2,0.03,0.109,2.98,3.16,6.15,0.19,0.8,21,1,0.3,0.7,3.75,0.9,1.38,15.54,68.34,18.16,9.76,36.73,4.9,0.35,59.795,150.59,35,186
0,662,63.7,29.8,4.2,1.3,4,1.7,2.4,24,220,340,13.5,54,4.8,0,12,2,0.06,0.2,3,4.1,7.1,0.11,1.5,25,0,0.2,0.1,0.7,0.7,1.16,30.39,119.11,45.63,11.96,77.91,11.66,0.58,135.191,94.76,62,241
0,563,73.4,22.8,4.7,1.2,4,1.2,1.24,23,196,353,10.6,43,2.93,1,10,3,0.029,0.108,2.96,3.15,6.1,0.19,0.8,21,1,0.3,0.7,3.7,0.89,1.84,15.29,67.23,18.25,9.6,36.13,4.82,0.37,59.211,204.42,36,185
0,711,62.6,29.4,5.7,1.3,4,1.7,2.36,24,216,335,13.1,53,4.7,1,12,3,0.059,0.197,2.95,4.05,6.99,0.12,1.5,25,0,0.2,0.1,0.7,0.72,1.78,29.55,115.81,44.36,11.63,76.83,11.33,0.6,132.529,178.64,62,238
0,696,70.1,22.1,8.7,1.2,4,1.3,1.25,22,188,340,9.9,42,2.79,4,10,6,0.027,0.104,2.9,3.04,5.94,0.2,1,20,1,0.4,0.6,3.51,0.88,3.5,14.24,62.6,18.44,8.94,33.65,4.49,0.44,56.579,400.29,38,179
0,795,60.8,28.6,8.3,1.3,4,1.8,2.28,23,210,326,12.4,52,4.52,2,12,4,0.055,0.19,2.87,3.94,6.81,0.13,1.5,24,0,0.2,0.1,0.69,0.75,2.81,27.95,109.54,41.96,11,74.59,10.72,0.64,127.272,321.09,62,232
0,420,72.5,21,1.7,1.2,4,1.2,2.1,26,230,370,9,50,4.1,0,10,2,0.03,0.11,3,2.89,5.89,0.13,0.8,21,1,0.3,0.7,3.8,0.9,0.58,16.15,55.7,23.68,4.1,36.53,4.52,0.3,64.733,44.86,62,170
0,615,66.8,31.8,2,1.3,6,1.7,3.3,27,290,350,20,43,8.2,0,12,2,0.03,0.08,3,4.37,7.38,0.09,1,25,0,0.2,0.1,0.7,0.2,0.69,8.06,33.43,35.71,2.2,38.84,5.64,0.22,80.187,70.15,75,257
0,525,70.1,20.5,4.7,1.2,4,1.2,2.06,25,223,359,8.5,49,3.94,2,10,4,0.028,0.107,2.95,2.82,5.78,0.14,0.9,20,1,0.3,0.7,3.66,0.89,1.86,15.32,52.86,23.54,3.89,34.67,4.29,0.36,62.491,196.65,62,166
