Protein,Nitrogen,Beta-carotene,Beta-carotene equivalents (provitamin A),"Folate, natural",Total folates,Dietary folate equivalents,Alpha tocopherol,Vitamin E,C14,C15,C16,C17,C18,Total saturated fatty acids,,,,,,,,
24.8,3.96,0,0,43,43,43,0,0,0.08,0.01,1.53,0.03,0.79,2.45,0.01,0.17,2.36,2.58,0.64,0.04,11.65,17.47
24,3.83,0,0,41,41,41,0,0.01,0.13,0.01,2.2,0.05,1.11,3.52,0.01,0.26,3.53,3.86,0.94,0.07,14,28.63
17.6,2.81,0,0,37,37,37,0.1,0.06,0.17,0.01,2.98,0.07,1.5,4.76,0,0.36,4.98,5.43,1.31,0.1,14.08,40.49
22.6,3.62,0,0,37,37,37,0,0.02,0.2,0.01,3.34,0.07,1.66,5.32,0,0.4,5.5,6.01,1.43,0.12,17.96,47.37
21.6,3.45,0,0,32,32,32,0.2,0.21,0.13,0.01,1.94,0.04,0.92,3.05,0,0.24,3.54,3.85,0.99,0.07,0.83,40.78
31.2,4.99,0,0,3,3,3,0.1,0.08,0.15,0.01,2.38,0.05,1.14,3.75,0,0.3,4.33,4.73,1.26,0.09,1.84,50.51
8.6,1.38,0,0,4,4,4,0.5,0.51,0.82,0.06,14.93,0.38,7.59,23.86,0,1.52,28.48,30.5,7.21,0.51,0,316.4
12,1.92,0,0,8,8,8,0.4,0.43,0.66,0.05,12.08,0.31,6.14,19.29,0,1.23,23.03,24.67,5.83,0.41,0,255.88
23.5,3.76,0,0,45,45,45,0.2,0.15,0.02,0,0.37,0.01,0.19,0.59,0,0.05,0.62,0.69,0.23,0.01,1.64,6.55
28.8,4.6,0,0,43,43,43,0,0,0.02,0,0.55,0.01,0.28,0.89,0,0.07,0.93,1.04,0.34,0.01,2.46,9.83
23.3,3.73,0,0,44,44,44,0.2,0.15,0.02,0,0.51,0.01,0.26,0.82,0,0.06,0.89,0.98,0.3,0.01,1.62,9.58
28.6,4.58,0,0,42,42,42,0,0,0.03,0,0.65,0.01,0.34,1.05,0,0.08,1.12,1.25,0.39,0.02,2.44,12
7.9,1.26,0,0,4,4,4,0.4,0.36,0.91,0,16.75,0.38,9.17,27.29,0,1.6,29.48,31.67,5.74,0.35,0,309.95
8.8,1.4,0,0,8,8,8,0.4,0.35,0.93,0,17.11,0.38,9.36,27.88,0,1.63,30.12,32.36,5.86,0.36,0,316.67
23.2,3.71,0,0,36,36,36,0.2,0.17,0.02,0,0.39,0.01,0.2,0.62,0,0.05,0.67,0.74,0.18,0.01,0,5.73
30.6,4.9,0,0,20,20,20,0,0,0.05,0,0.98,0.02,0.5,1.56,0,0.13,1.67,1.85,0.44,0.02,0,14.33
22.4,3.59,0,0,34,34,34,0.2,0.18,0.06,0,1.21,0.02,0.65,1.96,0,0.13,2.11,2.28,0.46,0.02,0,20.94
29.5,4.72,0,0,19,19,19,0,0.02,0.09,0,1.79,0.03,0.95,2.87,0,0.2,3.09,3.37,0.71,0.04,0,29.45
21.5,3.44,0,0,33,33,33,0.2,0.19,0.12,0,2.18,0.05,1.18,3.54,0,0.22,3.81,4.12,0.78,0.04,0,38.96
28,4.49,0,0,19,19,19,0,0.04,0.15,0,2.87,0.06,1.54,4.64,0,0.3,5,5.42,1.08,0.06,0,49.76
21,3.36,0,0,49,49,49,0.2,0.2,0.14,0.01,2.89,0.04,1.52,4.6,0,0.3,5.31,5.74,1.19,0.07,1.2,49.84
30.9,4.95,0,0,72,72,72,0.3,0.26,0.2,0.02,4.25,0.06,2.24,6.77,0,0.44,7.81,8.44,1.75,0.11,1.77,73.29
5.2,0.83,0,0,11,11,11,0.4,0.36,1.03,0.07,17.71,0.51,9.62,29.02,0,1.76,30.71,33.06,9.4,0.66,0,367.38
8.8,1.41,0,0,8,8,8,0.4,0.35,0.89,0.06,15.39,0.45,8.36,25.22,0,1.53,26.69,28.73,8.17,0.58,0,319.26
23.3,3.73,0,0,36,36,36,0.2,0.17,0.02,0,0.47,0.01,0.24,0.75,0,0.06,0.84,0.92,0.24,0.02,0,8.01
31.9,5.1,0,0,15,15,15,0,0,0.09,0,1.83,0.04,0.96,2.94,0,0.22,3.27,3.58,0.96,0.06,0,31.3
19.9,3.18,0,0,31,31,31,0.2,0.21,0.21,0.01,3.73,0.1,2.02,6.1,0,0.38,6.49,6.99,1.98,0.14,0,75.97
28.9,4.62,0,0,14,14,14,0,0.05,0.2,0.01,3.62,0.09,1.93,5.87,0,0.39,6.36,6.89,1.91,0.13,0,69.23
6.3,1.01,0,0,11,11,11,0.4,0.36,0.72,0.06,15.14,0.2,7.96,24.09,0,1.5,28.07,30.22,6.07,0.39,0,261.12
14.9,2.38,0,0,11,11,11,0.4,0.35,0.58,0.05,12.27,0.16,6.45,19.52,0,1.22,22.74,24.49,4.92,0.32,0,211.57
24.1,3.86,0,0,57,57,57,0.2,0.17,0.02,0,0.34,0,0.18,0.54,0,0.05,0.57,0.64,0.18,0.01,1.46,5.82
29.5,4.72,0,0,8,8,8,0,0,0.04,0,0.74,0.01,0.39,1.19,0,0.11,1.25,1.4,0.38,0.02,3.18,12.74
22.9,3.66,0,0,54,54,54,0.2,0.18,0.06,0,1.33,0.02,0.7,2.12,0,0.15,2.42,2.63,0.57,0.03,1.36,22.98
33.2,5.31,0,0,67,67,67,0.2,0.22,0.09,0.01,1.93,0.02,1.02,3.08,0,0.21,3.51,3.81,0.83,0.05,1.97,33.3
19.5,3.12,0,0,9,9,9,0,0,0.15,0.01,2.43,0.05,1.31,4,0.03,0.28,4.23,4.62,1.08,0.08,0,40.28
25.4,4.07,0,0,10,10,10,0,0,0.16,0.01,2.53,0.05,1.36,4.17,0.03,0.29,4.41,4.82,1.12,0.08,0,41.99
11.3,1.81,0,0,3,3,3,0.5,0.51,0.68,0.04,10.2,0.21,4.84,16.02,0,1.28,18.66,20.27,5.02,0.38,0,212.52
16.3,2.61,0,0,7,7,7,0.4,0.43,0.69,0.04,10.41,0.22,4.94,16.35,0,1.3,19.04,20.68,5.12,0.39,0,216.81
23.7,3.79,0,0,38,38,38,0.2,0.15,0.01,0,0.22,0,0.11,0.35,0,0.03,0.38,0.43,0.16,0.01,1,5
34.7,5.55,0,0,2,2,2,0,0,0.02,0,0.5,0.01,0.25,0.79,0,0.07,0.87,0.97,0.35,0.02,2.28,11.38
23.5,3.75,0,0,37,37,37,0.2,0.16,0.02,0,0.42,0.01,0.2,0.66,0,0.05,0.75,0.82,0.25,0.02,0.98,9.16
34.5,5.51,0,0,2,2,2,0,0.01,0.03,0,0.62,0.01,0.31,0.99,0,0.08,1.11,1.23,0.42,0.02,2.24,14.05
22.1,3.54,0,0,41,41,41,0.2,0.15,0.01,0,0.21,0,0.12,0.35,0,0.02,0.34,0.39,0.18,0.01,2,4
29.4,4.7,0,0,25,25,25,0,0,0.01,0,0.33,0.01,0.18,0.54,0,0.04,0.53,0.6,0.27,0.01,3.09,6.19
25.3,4.05,0,0,35,35,35,0.2,0.15,0.02,0,0.44,0.01,0.22,0.7,0,0.05,0.73,0.81,0.27,0.01,1.91,7.64
28.6,4.58,0,0,27,27,27,0,0,0.04,0,0.79,0.01,0.4,1.26,0,0.1,1.32,1.46,0.48,0.02,3.46,13.83
24.8,3.97,0,0,34,34,34,0.2,0.16,0.04,0,0.85,0.02,0.44,1.37,0,0.1,1.53,1.66,0.47,0.03,1.86,16.54
